,0,1,2
68,69,[0.70104003 0.65949634 0.39717109 0.0553334 ],362.9344489103896
69,70,[0.58199362 0.57362437 0.35532799 0.13847524],384.0873763982213
70,71,[0.67614276 0.52436068 0.33286009 0.04472346],386.0340876978703
71,72,[0.72797138 0.6973336  0.36877447 0.01450959],360.4049211759625
72,73,[0.78393022 0.63812745 0.36168037 0.14836168],396.3176527292371
73,74,[0.78542943 0.59224995 0.36268681 0.07677417],381.93320586851723
74,75,[0.71578168 0.67890376 0.37856719 0.2065118 ],334.29867618940307
75,76,[0.68785236 0.564959   0.36005892 0.04625119],381.6711169493092
76,77,[0.52433793 0.53807021 0.34081961 0.16062332],393.43867304568676
77,78,[0.78606715 0.56194659 0.36524457 0.15193174],345.83704457479007
78,79,[0.7180001  0.61937973 0.37716413 0.16511298],340.52125219661326
79,80,[0.71234864 0.637619   0.3745772  0.00554025],380.3137848855472
80,81,[0.79951742 0.65964874 0.35793251 0.09055596],372.9545475257755
81,82,[0.7678282  0.62549651 0.3794604  0.01119534],399.0738555420362
82,83,[0.74985894 0.60190225 0.3790155  0.08727214],389.62031685374495
83,84,[0.75946744 0.59971638 0.36131204 0.09629993],363.0058498820049
84,85,[0.79584628 0.59995433 0.34241579 0.01355591],422.9101644925995
85,86,[0.72076359 0.65390428 0.35638    0.22755661],323.0200776771526
86,87,[0.77631792 0.60932758 0.3504946  0.19752348],399.8818650053995
87,88,[0.7457342  0.6573394  0.37391118 0.22808088],349.2182768902421
88,89,[0.48060717 0.65636391 0.3675192  0.19400028],390.11603499556713
89,90,[0.74703954 0.66759992 0.37778005 0.17174086],328.3809371555363
90,91,[0.73547066 0.66426387 0.34834964 0.08306606],400.29121872622545
91,92,[0.76593209 0.60072839 0.37038252 0.11452081],385.41011346612686
92,93,[0.7651499  0.58194282 0.35426709 0.16375845],428.86643647708024
93,94,[0.64430246 0.62061175 0.37465176 0.16926719],369.2677751211877
94,95,[0.75404517 0.52973892 0.32954351 0.12203828],414.1150381513444
95,96,[0.81431831 0.67510745 0.38970164 0.12744326],365.4487600845364
96,97,[0.74832194 0.59499416 0.36798603 0.19998023],369.0314476585313
97,98,[0.72887677 0.56269468 0.36523124 0.07097171],403.75687003394023
98,99,[0.70609978 0.66525802 0.36010503 0.12108534],411.96714823958837
99,100,[0.79212453 0.59086252 0.35964733 0.07254583],402.6428449756727
